gene	kcore
ANKS1A	43
ANKS1B	10
ANKS3	3
ANKS4B	3
ANKS6	16
ANKZF1	7
ANLN	6
ANO1	7
ANO10	4
ANO2	5
ANO3	4
ANO4	4
ANO5	4
ANO6	5
ANO7	4
ANO8	5
ANO9	5
ANOS1	14
ANP32A	20
ANP32B	28
ANP32C	4
ANP32D	2
ANP32E	10
ANPEP	7
ANTKMT	22
ANTXR1	9
ANTXR2	8
ANXA1	41
ANXA10	2
ANXA11	15
ANXA13	3
ANXA2	31
ANXA2P2	4
ANXA3	10
ANXA4	5
ANXA5	24
ANXA6	12
ANXA7	43
ANXA8	5
ANXA8L1	5
ANXA9	4
AOAH	1
AOC1	10
AOC2	3
AOC3	12
AOPEP	1
AOX1	13
AP1AR	3
AP1B1	46
AP1G1	38
AP1G2	31
AP1M1	51
AP1M2	38
AP1S1	37
AP1S2	37
AP1S3	35
AP2A1	66
AP2A2	66
AP2B1	66
AP2M1	66
AP2S1	66
AP3B1	14
AP3B2	5
AP3D1	21
AP3M1	17
AP3M2	1
AP3S1	15
AP3S2	15
AP4B1	8
AP4E1	19
AP4M1	13
AP4S1	14
AP5B1	5
AP5M1	2
AP5S1	3
AP5Z1	4
APAF1	28
APBA1	27
APBA2	12
APBA3	10
APBB1	36
APBB1IP	31
APBB2	25
APBB3	22
APC	81
APC2	43
APCDD1	1
APCDD1L	3
APCS	19
APE1	4
APEH	6
APEX1	51
APEX2	11
APH1A	39
APH1B	34
API5	4
APIP	19
APLF	13
APLN	15
APLNR	31
APLP1	37
APLP2	18
APMAP	4
APOA1	38
APOA1BP	2
APOA2	33
APOA4	26
APOA5	24
APOB	61
APOBEC1	12
APOBEC2	1
APOBEC3A	6
APOBEC3B	8
APOBEC3C	20
APOBEC3D	1
APOBEC3F	8
APOBEC3G	58
APOBEC3H	6
APOBR	4
APOC1	17
APOC2	24
APOC3	30
APOC4	17
APOC4-APOC2	16
APOD	30
APOE	38
APOF	4
APOH	19
APOL1	7
APOL2	22
APOL3	21
APOL4	3
APOL5	7
APOL6	10
APOM	5
APOO	12
APOOL	12
APP	67
APPBP2	33
APPL1	36
APPL2	21
APRT	4
APTX	18
AQP1	45
AQP10	19
AQP11	1
AQP12B	4
AQP2	30
AQP3	29
AQP4	7
AQP5	11
AQP6	36
AQP7	11
AQP8	6
AQP9	20
AQR	160
AR	72
ARAF	55
ARAP1	36
ARAP2	26
ARAP3	25
ARC	17
ARCN1	62
ARD1A	6
AREG	66
AREL1	5
ARF1	51
ARF3	31
ARF4	48
ARF5	27
ARF6	60
ARFGAP1	62
ARFGAP2	39
ARFGAP3	47
ARFGEF1	9
ARFGEF2	9
ARFIP1	16
ARFIP2	32
ARFRP1	28
ARG1	12
ARG2	3
ARGBPIB	7
ARGLU1	4
ARHGAP1	33
ARHGAP10	28
ARHGAP11A	20
ARHGAP11B	19
ARHGAP12	23
ARHGAP15	22
ARHGAP17	32
ARHGAP18	21
ARHGAP19	21
ARHGAP20	19
ARHGAP21	24
ARHGAP22	23
ARHGAP23	19
ARHGAP24	27
ARHGAP25	28
ARHGAP26	25
ARHGAP27	1
ARHGAP28	19
ARHGAP29	23
ARHGAP30	21
ARHGAP31	22
ARHGAP32	30
ARHGAP33	21
ARHGAP35	38
ARHGAP36	19
ARHGAP39	21
ARHGAP4	28
ARHGAP40	19
ARHGAP44	20
ARHGAP45	27
ARHGAP5	36
ARHGAP6	25
ARHGAP8	25
ARHGAP9	36
ARHGDIA	38
ARHGDIB	36
ARHGDIG	27
ARHGEF1	36
ARHGEF10	4
ARHGEF10L	6
ARHGEF11	34
ARHGEF12	36
ARHGEF15	14
ARHGEF16	27
ARHGEF17	22
ARHGEF18	35
ARHGEF19	23
ARHGEF2	41
ARHGEF25	10
ARHGEF26	20
ARHGEF28	13
ARHGEF3	26
ARHGEF38	1
ARHGEF39	5
ARHGEF4	23
ARHGEF40	5
ARHGEF5	36
ARHGEF6	44
ARHGEF7	52
ARHGEF9	26
ARHH	3
ARID1A	54
ARID1B	28
ARID2	24
ARID3A	20
ARID3B	8
ARID3C	4
ARID4A	18
ARID4B	31
ARID5A	44
ARID5B	7
ARIH1	32
ARIH2	35
ARL1	29
ARL11	1
ARL13B	39
ARL14	4
ARL14EP	3
ARL15	17
ARL16	8
ARL17A	21
ARL2	17
ARL2-SNX15	2
ARL2BP	8
ARL3	12
ARL4A	12
ARL4C	4
ARL4D	19
ARL5A	7
ARL5B	4
ARL6	14
ARL6IP1	29
ARL6IP4	15
ARL6IP5	9
ARL6IP6	13
ARL8A	4
ARL8B	11
ARMC1	3
ARMC10	8
ARMC12	7
ARMC4	1
ARMC5	12
ARMC7	39
ARMC8	8
ARMC9	3
ARMCX1	6
ARMCX2	4
ARMCX3	10
ARMCX5	1
ARMT1	4
ARNT	61
ARNT2	49
ARNTL	51
ARNTL2	12
ARP3BETA	1
ARPC1A	103
ARPC1B	101
ARPC2	103
ARPC3	103
ARPC4	103
ARPC4-TTLL3	5
ARPC5	103
ARPC5L	30
ARPIN	4
ARPIN-AP3S2	7
ARPP19	3
ARPP21	2
ARR3	49
ARRB1	66
ARRB2	66
ARRDC1	12
ARRDC2	2
ARRDC3	32
ARRDC4	1
ARSA	14
ARSB	4
ARSD	2
ARSE	4
ARSF	4
ARSG	2
ARSH	2
ARSI	3
ARSJ	5
ARSK	2
ARSL	3
ART1	2
ART3	2
ART4	2
ART5	1
ARTN	31
ARV1	13
ARVCF	10
ARX	1
ASAH1	7
ASAH2	1
ASAP1	37
ASAP2	18
ASAP3	7
ASB1	20
ASB10	25
ASB11	20
ASB12	27
ASB13	30
ASB14	19
ASB15	31
ASB16	24
ASB17	22
ASB18	19
ASB2	23
ASB3	29
ASB4	23
ASB5	20
ASB6	31
ASB7	23
ASB8	23
ASB9	26
ASCC1	5
ASCC2	22
ASCC3	5
ASCC3L1	1
ASCL1	33
ASCL2	6
ASCL3	10
ASCL4	7
ASF1A	43
ASF1B	44
ASGR1	29
ASGR2	30
