gene	bridging
VTN	2.1117781203366364e-06
XB	2.2625774267241592e-08
CHRNE	5.515629755213587e-07
CHRNG	4.818105816438937e-06
CHRND	2.785953202322131e-06
LILRB3	1.0673129844780925e-06
JAK2	7.526731415382116e-07
PAK2	1.1165839991985828e-06
PAK4	1.3051207571352413e-06
AGRN	1.7734082430452533e-06
ARHGEF6	1.6764614571524443e-06
GNB1	2.3161159921284514e-07
DMD	1.4829220448731497e-06
GNGT1	1.1661619117802103e-07
GNAQ	3.1925327950653755e-07
ARHGEF7	1.3655253193354025e-06
DAG1	1.9720357032392605e-06
PAK3	4.860441847739411e-07
PAK5	1.4176060362238046e-06
PAK6	1.2494531256334677e-06
RAPSN	2.1847034634313464e-06
SLURP1	1.0625578806335632e-06
SLURP2	7.043658297741162e-07
ZFYVE9	1.6903588043093356e-06
AR	9.385386715063941e-07
CREBBP	5.0115933139234e-07
EP300	4.3928528957690813e-07
TTN	1.0625404415661412e-06
PFKM	1.519133346896292e-06
ATXN1	4.4412095339866193e-07
FHL1	1.9139670677695115e-06
PSEN2	9.655279284088287e-07
HAND1	1.1232907216721014e-06
ITGA3	5.361910467341276e-07
FHL5	8.389009695761602e-07
WT1	1.335127411729167e-06
SFPQ	8.762765076485721e-07
ZNF638	1.7308821852898762e-06
ZBTB16	1.404344170220692e-06
REV1	1.9275568512241935e-07
CARD8	2.226104230246891e-06
CTNNB1	1.057010020068515e-06
BRCA1	7.722091312104999e-07
FOXO1	9.76328331997535e-07
SRF	7.311398237988597e-07
ESR1	7.756851492530818e-07
CAPN1	1.5800755831433186e-06
CKM	1.1888374819316383e-06
TNFRSF11A	6.640288753569368e-07
ADAM17	1.465209071506529e-06
TRAF6	8.874664577170523e-07
AK1	1.4819372156673498e-05
SLC34A1	2.937319605875099e-06
IGFBP5	1.8181021509720086e-06
MCM7	1.1531411525785e-06
POGZ	1.057647174966462e-06
BANP	8.305997993375368e-07
QRICH1	1.6920556540215559e-06
DCP1A	9.881249674887714e-07
ZNF76	9.940595326766043e-07
GAS8	1.4718460484811363e-06
PPP1R32	1.428442185245212e-06
GOLGA6A	9.802846446538035e-07
FAM204A	2.473870867971843e-06
NRF1	9.601516724476166e-07
ZNF410	2.258888250960564e-06
